These are patches originally created for the DX-21 by Bobby Clark.  I have converted them for use on the FB-01 using Martin Tarenskeen's FB_CNVRT program for the AtariST.  So a big thanks to him for that very useful program!  The files were originally dated April 22, 1987 (uh.... and it looks like I needed to set the date & time on the AtariST emulator, as they're now dated with the year 2032).

The original patch list is as follows


 DX   DX
B 6   22 - BlueMonday
B 7   23 - Rim       
B 8   24 - Autumn    


File: EE.syx

A 1    1 - Raindrops 
A 2    2 - Rough Bass
A 3    3 - Onlooker  
A 4    4 - Lucky Man 
A 5    5 - QuantumFX 
A 6    6 - WO  PX    
A 7    7 - Shatt.Per.
A 8    8 - TOM       
A 9    9 - BASS  Per.
A10   10 - NINTENDO  
A11   11 - GRADIUS   
A12   12 - GRADIUS 2 
A13   13 - GUITARZAN 
A14   14 - Juno      
A15   15 - OONo      
A16   16 - M  6  B   
B 1   17 - ==========
B 2   18 - OON       
B 3   19 - Cult.Piano
B 4   20 - Bolt.Piano
B 5   21 - Bolt.Piano
B 6   22 - KILROY    
B 7   23 - AUTOMATROP
B 8   24 - AUTOMATON 


File: F.syx

A 1    1 - ELek Guit 
A 2    2 - ELek Guit2
A 3    3 - &so it was
A 4    4 - GroundZero
A 5    5 - * SNARF * 
A 6    6 - RogerMoore
A 7    7 - MasterBlas
A 8    8 - Helisynth 
A 9    9 - Encounter 
A10   10 - Mama      
A11   11 - Betelgeuse
A12   12 - RunningMan
A13   13 - eeker     
A14   14 - Ton       
A15   15 - Ton 3     
A16   16 - PROPHET 1 
B 1   17 - StarVeins 
B 2   18 - StarVeins2
B 3   19 - StarVeins3
B 4   20 -     Void  
B 5   21 - UFOFX OK? 
B 6   22 - UFOFX OK?2
B 7   23 -  PLUTO    
B 8   24 - [[[[XX]]]]

File: FF.syx


A 1    1 - GroovCHORD
A 2    2 - Last Bass4
A 3    3 - ?? WHO ?? 
A 4    4 - OON       
A 5    5 - sselterF  
A 6    6 - Split Perc
A 7    7 - Highlander
A 8    8 - Symphonica
A 9    9 - SplitPerc2
A10   10 - WOW FOW   
A11   11 - YANHAMMERY
A12   12 - ABACAB    
A13   13 - UnicrnHorn
A14   14 - Trails end
A15   15 - SynthHiHat
A16   16 - PercSYNTH 
B 1   17 - Sable&Glow
B 2   18 - DOWNtheHat
B 3   19 - Synth D 2 
B 4   20 - zzzzZEPHYR
B 5   21 - Pianist   
B 6   22 - Trails end
B 7   23 - StellarPn.
B 8   24 -  ICARUS   

File: G.syx


A 1    1 - Symphonica
A 2    2 - BassSynth2
A 3    3 - Synthstra2
A 4    4 - PearlHarbr
A 5    5 - ICARUS II 
A 6    6 - Communion 
A 7    7 - Substance 
A 8    8 - Goldfinger
A 9    9 - .007 Organ
A10   10 - 1999      
A11   11 - Running   
A12   12 - TheyreHere
A13   13 - *INVASION*
A14   14 - Synthalife
A15   15 - Caprica   
A16   16 - Absolute 0
B 1   17 - Continuum 
B 2   18 - AceOfSword
B 3   19 - Blitzkrieg
B 4   20 - Bombs Away
B 5   21 - Mind's Eye
B 6   22 - ViolaSynth
B 7   23 - 2492 A.D. 
B 8   24 - WW2 Synth 

File: GG.syx


A 1    1 - Lucky Man 
A 2    2 - OON       
A 3    3 - KILROY    
A 4    4 - Lucky Man 
A 5    5 - Flap Bass 
A 6    6 - Flap Bass 
A 7    7 - Shatt.Per.
A 8    8 - TOM       
A 9    9 - BASS  Per.
A10   10 - NINTENDO  
A11   11 - GRADIUS   
A12   12 - S/H Synth 
A13   13 - Vangelis  
A14   14 - PANAFLOOA 
A15   15 - S/H Synth 
A16   16 - M  6  B   
B 1   17 - ==========
B 2   18 - OON       
B 3   19 - Cult.Piano
B 4   20 - Guitar   2
B 5   21 - TALISMAN  
B 6   22 - Cult.Piano
B 7   23 - WOW FOW   
B 8   24 - EVENINGBEL

File: H.syx


A 1    1 - 11th Earl 
A 2    2 - of MAR    
A 3    3 - Cat--Synth
A 4    4 - Poseidon  
A 5    5 - Hide&Seek 
A 6    6 - Spooksynth
A 7    7 - "The Bard"
A 8    8 - Gallifrey 
A 9    9 - Bassist   
A10   10 - 1700 Synth
A11   11 - Wood Perc 
A12   12 - Psyche II 
A13   13 - Coconutz!!
A14   14 - Islander  
A15   15 - Jamaican  
A16   16 - Airwaves  
B 1   17 - Zenith~  
B 2   18 - Rainbow FX
B 3   19 - Europa    
B 4   20 - Ghost Town
B 5   21 - Apocalypse
B 6   22 - James Bond
B 7   23 - Duane Eddy
B 8   24 - Low-Life  

File: I.syx


A 1    1 -  Space ...
A 2    2 - Trekkie   
A 3    3 - Energize! 
A 4    4 - Beam us up
A 5    5 - Hawaiian  
A 6    6 - FRONTIER  
A 7    7 - Slapsynth 
A 8    8 - VibeSynth 
A 9    9 - {-VACUUM-}
A10   10 - ?? WHO ?? 
A11   11 - Timelord  
A12   12 - Time Winds
A13   13 - XQ-77     
A14   14 - ELECTRICgt
A15   15 - UFO Synth 
A16   16 - ForestFire
B 1   17 - Cowbelle 3
B 2   18 - Mute Cbell
B 3   19 - 2:58 A.M. 
B 4   20 - BassSynth3
B 5   21 - Searcher  
B 6   22 - Unsynth   
B 7   23 - LaserSynth
B 8   24 - *VISITOR* 

File: J.syx


A 1    1 - Anysynth  
A 2    2 - OtherSynth
A 3    3 - Organiser 
A 4    4 - Organism  
A 5    5 - SynthOrgan
A 6    6 - Dreamscape
A 7    7 - Dscape II 
A 8    8 - ESP Synth 
A 9    9 - Weird Bass
A10   10 - Kawasaki  
A11   11 - Unbass    
A12   12 - AlienStorm
A13   13 - Unshamagan
A14   14 - VibraStrng
A15   15 - Harpsynth 
A16   16 - Enigma    
B 1   17 - Traveller 
B 2   18 - Shiver    
B 3   19 - WeirdSynth
B 4   20 - SitarSynth
B 5   21 - Noname    
B 6   22 - Dscape III
B 7   23 - SmoothBass
B 8   24 - ShmganBass

File: K.syx


A 1    1 - Casises   
A 2    2 - Synthedge 
A 3    3 - Muddle    
A 4    4 - Calvary   
A 5    5 - DiamondLuv
A 6    6 - Elec. Lute
A 7    7 - Harpspiano
A 8    8 - Brass,Back
A 9    9 - FM BELLS  
A10   10 - Isixy     
A11   11 -  BS  Synth
A12   12 - SLOW Synth
A13   13 - Embryo    
A14   14 -  SKARO    
A15   15 -  LEVITAT. 
A16   16 - \ Okinawa 
B 1   17 - Wisdom    
B 2   18 - Alienvader
B 3   19 - Slidesynth
B 4   20 - So So     
B 5   21 - Minuet    
B 6   22 - Minuet II 
B 7   23 - ShiverSynt
B 8   24 - Mellow    

File: L.syx


A 1    1 - iffeq     
A 2    2 - STINGGGGGG
A 3    3 - JASTOR    
A 4    4 - BrassKnuc.
A 5    5 - 8\HPZD?QF_
A 6    6 - Univac    
A 7    7 - Zitar     
A 8    8 - SteelPulse
A 9    9 - Base Five 
A10   10 - Hyperion  
A11   11 - Elec Sitar
A12   12 - Elec. "So"
A13   13 - ICU       
A14   14 -   LIQUIX  
A15   15 - Subculture
A16   16 - Hyperion  
B 1   17 - METAL HEAD
B 2   18 - Bard II   
B 3   19 - DscapeOrch
B 4   20 - BanjoSitar
B 5   21 - MetalSitar
B 6   22 - Snarf Bass
B 7   23 - Force Five
B 8   24 - Gallifrey2

File: M.syx


A 1    1 - Eclo      
A 2    2 - MOURZWAK  
A 3    3 - UnicrnHorn
A 4    4 - Rainbow FX
A 5    5 - Isixy     
A 6    6 - Wisdom    
A 7    7 - Embryo    
A 8    8 -  LEVITAT. 
A 9    9 - {-VACUUM-}
A10   10 - ShiverSynt
A11   11 - VibraStrng
A12   12 - Juggermaut
A13   13 - &so it was
A14   14 -  ICARUS   
A15   15 - SummerBUGS
A16   16 - Crickets  
B 1   17 - StarVeins3
B 2   18 - Let About 
B 3   19 - RainForest
B 4   20 - Dscape III
B 5   21 - DscapeOrch
B 6   22 - Wonderland
B 7   23 - Autumn    
B 8   24 - Symphonica

File: N.syx


A 1    1 - Zen       
A 2    2 - Slice&Dice
A 3    3 - Victorian 
A 4    4 - Peter Gunn
A 5    5 - StatNation
A 6    6 - Toy Piano 
A 7    7 - Buzz Synth
A 8    8 - PANINARO  
A 9    9 -  FACEvalue
A10   10 - Steurmer  
A11   11 - Oh Lord   
A12   12 - Steurmer 2
A13   13 - Vocal     
A14   14 - Uprt Bass2
A15   15 -  DONT CARE
A16   16 - UpInTheAir
B 1   17 - Prophet II
B 2   18 - Tropicana 
B 3   19 -  VICE     
B 4   20 - 90125     
B 5   21 - Whistlix  
B 6   22 - :G:I:Z:M:O
B 7   23 - Mercury   
B 8   24 -  Tangerine

File: O.syx


A 1    1 -  ELA      
A 2    2 -    PULSE  
A 3    3 - Folloxo   
A 4    4 - 000PULSE  
A 5    5 -   @?=#$&&:
A 6    6 - QUASARS   
A 7    7 - AZZATION  
