These are patches originally created for the DX-21 by some anonymous person or persons.  I have converted them for use on the FB-01 using Martin Tarenskeen's FB_CNVRT program for the AtariST.  So a big thanks to him for that very useful program!  The files were originally dated January 22, 1998  (uh.... and it looks like I needed to set the date & time on the AtariST emulator, as they're now dated with the year 2032).

The original patch list is as follows


 DX   DX
B 8   24 - FAIRYTALE



File: 9.SYX

A 1    1 - SYNTHCYCLE
A 2    2 - ARP ODESSY
A 3    3 - MILDTONE  
A 4    4 - MEMORIES..
A 5    5 - 3 CHIMES  
A 6    6 - FUZZYGRUZZ
A 7    7 - ESSENCE   
A 8    8 - GUIT HARMS
A 9    9 - BRASSY    
A10   10 - METALPHONE
A11   11 - BASSY     
A12   12 - BRONZE    
A13   13 - LEADBEAMER
A14   14 - XTRACT    
A15   15 - LEAD AXE  
A16   16 - BABY,BABY 
B 1   17 - CP-70     
B 2   18 - ORGANISM  
B 3   19 - VOCALWAVE 
B 4   20 - ADDITPIANO
B 5   21 - RESONANCE 
B 6   22 - CHAMBER   
B 7   23 - RHODES 2  
B 8   24 - HRPSIWAVE 




File: 10.SYX

A 1    1 - REED      
A 2    2 - BLIND MICE
A 3    3 - CHIMES    
A 4    4 - WINTERGLAS
A 5    5 - XYLOTONE  
A 6    6 - RHODES 1  
A 7    7 - B3        
A 8    8 - FLASHBACK 
A 9    9 - LOOK OUT!!
A10   10 - BELLAPHONE
A11   11 - OB FLUTE  
A12   12 - ROTOBASS  
A13   13 - BUZZONSOLO
A14   14 - CYBERBASS 
A15   15 - CYBERBASS2
A16   16 - SWIRLY    
B 1   17 - THE DOORS 
B 2   18 - RHODES 3  
B 3   19 - ADDIPIANO2
B 4   20 - KOTO BASS 
B 5   21 - ESSENCE 2 
B 6   22 - 2 CHIMES  
B 7   23 - IRON      
B 8   24 - FRETLASYN



File: 11.SYX

A 1    1 - FANTASY 3 
A 2    2 - HORNBLOCK 
A 3    3 - PHASE LEAD
A 4    4 - TROMBONE  
A 5    5 - SQUARELEAD
A 6    6 - PEACE!!!!!
A 7    7 - DX-7 KEYS 
A 8    8 - TRUMPET   
A 9    9 - OBERHIEM  
A10   10 - MARINE PAD
A11   11 - HI FMBRASS
A12   12 - PULSECODE 
A13   13 - BELL AIR  
A14   14 - PSS-170   
A15   15 - BRASSBELL2
A16   16 - WATERYBELL
B 1   17 - OB-1 PAD  
B 2   18 - FLUTE     
B 3   19 - KIMONO    
B 4   20 - PAN PIPE  
B 5   21 - MATRIX PAD
B 6   22 - HUMAN+    
B 7   23 - FLUTE 2   
B 8   24 - WATERDRAM2




File: 12.SYX

A 1    1 - FLUTE PAD 
A 2    2 - BRASSBASS 
A 3    3 - SPARKLER  
A 4    4 - SYNTH VIBE
A 5    5 - SAW PAD   
A 6    6 - BRASS SEC.
A 7    7 - WATERDRAMA
A 8    8 - PERC.BRASS
A 9    9 - DING DONG 
A10   10 - XYLIMBA   
A11   11 - 4-OP FLUTE
A12   12 - UPRIGHT   
A13   13 - BRASSBELL 
